"id";"ll_author_id";"nl_author_id";"born_date";"author_name"
222;12951;0;"-51955106";"Максим Есаулов"
223;429839;0;"-1377417506";"Цончо Родев"
224;416831;0;"74275293";"Хиро Арикава"
225;161923;0;"-51955106";"Дмитрий Бондаренко"
226;22658;0;"-272879906";"Андрей Молчанов"
227;563981;0;"-1345881506";"Роберт Кемпбелл"
228;515093;0;"-4343702306";"Гюстав Дроз"
229;299506;0;"-2513404706";"E M Delafield"
230;237761;0;"-2355638306";"Курт Цейтцлер"
231;10939;0;"-1282723105";"Леонид Мамут"
232;113419;0;"-51868702";"Оксана Робски"
233;2963;0;"-1724485091";"Сол Беллоу"
234;229889;0;"-462182302";"Юрий Коротков"
235;730391;0;"105897697";"Кристин Ньюман"
236;309967;0;"-304329502";"Скотт МакКлауд"
237;426269;0;"11203297";"Лорен Донер"
238;235307;0;"-1314172702";"Морис Сендак"
239;547434;0;"642351697";"Р.С. Грей"
240;606999;0;"-493718302";"Т. Харв Экер"
241;609535;0;"-588412701";"Алисия Хименес Бартлетт"
242;121996;0;"-556790301";"Кейдж Бейкер"
243;512268;0;"-1282636701";"Эдвард Уилсон"
244;630369;0;"-840873501";"Саймон Дженкинс"
245;231111;0;"-1503561501";"Леонард Герш"
246;511599;0;"232128098";"Адам Дарский"
247;13244;0;"-5448067101";"Вильгельм Кюхельбекер"
248;440923;0;"-1850715490";"Теренс Рэттиган"
249;10798;0;"-588412700";"Томас Гэд"
250;301385;0;"-3365395100";"Луи Куперус"
251;9212;0;"-525254300";"Евгения Дебрянская"
252;377269;0;"326822499";"Екатерина Медведева"
253;21641;0;"-714643100";"Елена Игнатова"
254;387290;0;"-2229321500";"Алексей Смирнов"
255;301026;0;"-1219564700";"Наталья Суханова"
256;27382;0;"-14535705500";"Жан Кальвин"
257;549322;0;"-335951900";"Марина Болдова"
258;199617;0;"-2355551898";"Иммануил Великовский"
259;166196;0;"-588412698";"Людмила Толмачева"
260;334673;0;"-1819093087";"Мэри Лэвин"
261;237189;0;"-1503561498";"Павло Автомонов"
262;124398;0;"-335951898";"Сергей Дмитриев"
263;393313;0;"-1282636698";"Евгений Чазов"
264;519333;0;"-1282636698";"Тамара Шеварёва"
265;504198;0;"-1787557087";"Сальвадор Эсприу"
266;175123;0;"-2008481887";"Хорхе Икаса"
267;148545;0;"-3302236697";"Фредерик Кук"
268;708616;0;"-367487897";"Павел Саля"
269;706445;0;"-399023897";"Андрей Немзер"
270;472471;0;"-746179097";"Меншье ван Кёлен"
271;445864;0;"-1251100697";"Николай Оганесян"
272;437997;0;"-2040017886";"Франтишек Гечко"
273;436603;0;"-1061711897";"Иван Никульшин"
274;431336;0;"-462182297";"Юрий Петров"
275;368457;0;"-651484697";"Евгений Минин"
276;364461;0;"-2828851096";"Маргит Каффка"
277;355920;0;"-2923545496";"Георгий Гончаренко"
278;333554;0;"-1408867096";"Джеймс Сэлтер"
279;328267;0;"547657303";"Маргарита Чикалина"
280;273518;0;"-1724485085";"Серж Лебовичи"
281;645406;0;"-1472025496";"Николай Кузминский"
282;621769;0;"-272793496";"Келли Дил"
283;598956;0;"-967103896";"Игнатий Лапкин"
284;569103;0;"-462182296";"Виктор Бритвин"
285;535813;0;"-3176006294";"Густав ван-Зип"
286;534585;0;"-1251100694";"Леонид Татаренко"
287;513529;0;"-3176006294";"Лидия Давыдова"
288;504063;0;"-178099094";"Елена Наймарк"
289;429196;0;"11203305";"Майк Доути"
290;334298;0;"-714643094";"Евгений Глушаков"
291;312115;0;"-588412694";"Чарльз Весс"
292;304518;0;"-1282636694";"Людмила Зыкина"
293;299142;0;"-1345795094";"Эрик Рауш-Гернет"
294;178705;0;"-809251093";"Йона Волах"
295;346904;0;"326908908";"Дженнифер Арментроут"
296;115158;0;"-335865491";"Хью Лори"
297;4625;0;"-1408780691";"Уильям Стайрон"
298;228734;0;"389977308";"Сергей Недоруб"
299;2987;0;"-1755934680";"Юрий Сотник"
300;179969;0;"-9802886291";"Цунэтомо Ямамото"
301;6744;0;"-20246291";"Наталья Андреева"
302;170848;0;"-1314086291";"Феликс Кривин"
303;102836;0;"-5006303891";"Виссарион Белинский"
304;512284;0;"421513310";"Софи ван дер Стап "
305;150863;0;"-430473489";"Натаниэль Филбрик"
306;22556;0;"-1219478289";"Фредерик Тристан"
307;236520;0;"-12547468689";"Бен Джонсон"
308;347042;0;"-398937489";"Евгений Додолев"
309;303790;0;"-51782289";"Эмма Клейтон"
310;29460;0;"-51782289";"Брайан Перро"
311;303103;0;"-1282550289";"Георгий Граубин"
312;148627;0;"-903859089";"Евгений Харитонов"
313;194389;0;"-1408780688";"Жан-Пьер Шаброль"
314;121160;0;"-1503475088";"Ирвинг Гофман"
315;913;0;"-777628688";"Игорь Исаев"
316;122221;0;"-367401488";"Брэдли Дентон"
317;176350;0;"-462095888";"Юрий Казарин"
318;206710;0;"-777628688";"Роберт Манч"
319;519948;0;"-462095888";"Линн Каллен"
320;320396;0;"11289711";"Александр Литвинов"
321;514495;0;"-114940688";"Хидэо Фурукава"
322;114353;0;"-1377244687";"Бетти Джин Лифтон"
323;630125;0;"421513312";"Любовь Штаний"
324;233952;0;"-1251014287";"Евгений Климов"
325;384787;0;"-651398287";"Николай Курилов"
326;247978;0;"-1187855887";"Геннадий Николаев"
327;108303;0;"-2954995087";"Альфред Луис Кребер"
328;699071;0;"-525167887";"Владимир Мороз"
329;365110;0;"-714556687";"Аллан Герганус"
330;346392;0;"-3333686287";"Рихард Штраус"
331;216097;0;"-3933302285";"Эжен Мюнц"
332;172675;0;"-1251014285";"Дункан Кайл"
333;162046;0;"-2260771085";"Дм. Щеглов"
334;16094;0;"-4343529485";"Жюль Валлес"
335;635616;0;"673974114";"Ольга Орлова"
336;566743;0;"-651398285";"Алла Тютюнник"
337;409968;0;"-493631885";"Джеймс Бакен"
338;161695;0;"-1093247885";"Нина Тимофеева"
339;166037;0;"295372916";"Дмитрий Глуховский"
340;178602;0;"-1282463883";"Анна Франк"
341;122125;0;"-525081483";"Тесс Герритсен"
342;433624;0;"484758116";"Мэделин Ру"
343;114944;0;"-2891836683";"Джеймс Кервуд"
344;159777;0;"484758116";"Юлия Жукова"
345;396024;0;"390063716";"Шелли Крейн"
346;324101;0;"-4501295883";"Иоганна Шпири"
347;622360;0;"-146390283";"Вольфганг Херрндорф"
348;6842;0;"-398851081";"Леонид Млечин"
349;324297;0;"-20159881";"Светлана Бурлак"
350;317698;0;"-714470281";"Роза Лагеркранц"
351;341842;0;"-1724312270";"Дэвид Рокфеллер"
352;320111;0;"42912118";"Роман Шмараков"
353;6950;0;"-1566459470";"Лазарь Карелин"
354;6392;0;"-83318281";"Альдо Нове"
355;356113;0;"-1030003081";"Дмитрий Пастушок"
356;319408;0;"-1945150669";"Отто Скорце́ни"
357;157982;0;"-114854280";"Владислав Русанов"
358;235803;0;"-714470280";"Хуан Мадрид"
359;310846;0;"-1818920269";"Сидер Флорин"
360;295110;0;"-114854280";"Ингер Эш Вулф"
361;236040;0;"-714470280";"Иосиф Райхельгауз"
362;117717;0;"-651311880";"Юрий Батурин"
363;114805;0;"-2260684680";"Михаил Кольцов"
364;231216;0;"-1187769480";"Эрвин Ласло"
365;301469;0;"-2449987079";"Джуна Барнс"
366;948182;0;"547830120";"Ирина Антонова"
367;395255;0;"-1882078668";"Билл Ноутон"
368;6441;0;"-1377158279";"Манфред Шрёдер"
369;553399;0;"232300920";"Ричард Айоади"
370;300221;0;"-840700679";"Фридрих Киттлер"
371;159348;0;"200764920";"Елена Сунцова"
372;11245;0;"-998467079";"Владимир Купченко"
373;624245;0;"295372920";"Шеннон Майер"
374;235043;0;"-272620678";"Джим Гоуд"
375;165033;0;"-1313999878";"Элизабет Хауэр"
376;615112;0;"-1440230278";"Іван Кирій"
377;393680;0;"-1250927878";"Аркадий Давидович"
378;370750;0;"-2544681478";"Гьончо Белев"
379;124507;0;"-1440230278";"Бронислав Бачко"
380;974856;0;"-525081478";"Дзинтра Шулце"
381;396392;0;"-1282463878";"Бриджид Антония Брофи"
382;361317;0;"-1629617867";"Ю Тенфьюрд"
383;162931;0;"-809078276";"Джуджа Висландер"
384;119297;0;"-935308676";"Яков  Рокитянский "
385;994910;0;"-7404508676";"Клод Рюльер"
386;985046;0;"484758123";"Александра Решмедилова"
387;795828;0;"-1440230276";"Джордж Герберт Уокер Буш"
388;668472;0;"390063723";"Шелби Фэллон"
389;533725;0;"-6615503876";"Жан Батист Луве де Кувре"
390;428797;0;"-2071381065";"Атанас Далчев"
391;329169;0;"-146390276";"Филип Топол"
392;299833;0;"263836924";"Олег Яковлев"
393;148291;0;"-209462272";"Одри Ниффенеггер"
394;114709;0;"-1219305472";"Ирвин Ялом"
395;236478;0;"137692927";"Джанин Фрост"
396;406;0;"-3301977472";"Уильям Йейтс"
397;313930;0;"-114767872";"Карл Циммер"
398;27205;0;"-367228672";"Фернандо Мариас"
399;166997;0;"-777455872";"Уитли Стрибер"
400;104201;0;"-588153472";"Далия Трускиновская"
401;294300;0;"-2418364672";"Дороти Ли Сэйерс"
402;6506;0;"-304070271";"Леонид Кудрявцев"
403;108795;0;"295459328";"Юрий Погуляй"
404;162751;0;"169228928";"Владислав Выставной"
405;233335;0;"484844528";"Артем Чех"
406;21985;0;"137692928";"Виржини Депант"
407;165875;0;"-367228671";"Сергей Степанов"
408;300030;0;"-2576131071";"Фернанду Пессоа"
409;354976;0;"295459328";"Ксения Лученко"
410;21987;0;"-335692671";"Морис Дантек"
411;314333;0;"-20073470";"Елена Клещенко"
412;21523;0;"-3712204670";"Николай Гейнце"
413;182067;0;"-903686270";"Александр Хорт"
414;1032;0;"-1440143870";"Галина Андреева"
415;235190;0;"-1881992259";"Гонсало Торренте Бальестер"
416;25470;0;"295459329";"Валентин Леженда"
417;173604;0;"-1913528259";"Владимир Нефф"
418;235196;0;"358614129";"Петр Ловыгин"
419;196075;0;"-2197525059";"Тихон Семушкин"
420;148207;0;"295459331";"Сергей Чуев"
421;253477;0;"-2702361468";"Джеральд Гарднер"
422;316047;0;"-1250841468";"Анджей Мулярчик"
423;22221;0;"-2702361468";"Этьен Жильсон"
424;5540;0;"-840614268";"Михаил Покрасс"
425;303546;0;"-3017980668";"Леопольдо Лугонес"
